system,method,scenario_id,split,actual_case,forecast_case,horizon,gamma_Q,cost,gap_percent,voltage_violation,solve_time_s,avg_step_time_s,max_step_time_s,solver_fail_count,timeout_count,completed,incomplete_reason,seed,solver_kind,solver_window,executed_steps,include_tail,cost_accounting,final_P_DG_5,final_SOC_BSS_9,step_costs_json,step_times_json,certified_global,gurobi_status,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_model_status,min_model_sol_count,failure_message,experiment_tag,completed_bool,source_raw,source_rank,max_steps,mean_std_nn_binary_count,step_model_statuses_json,step_model_sol_counts_json,num_optimal_steps,num_timelimit_steps,step_P_DG_5_json,step_SOC_BSS_9_json,step_P_BSS_json,step_P_grid_json,step_loss_json,step_load_total_json,step_pv_11_json,step_wind_26_json,policy_asset_dir,policy_stochastic_eval,policy_eval_mode,voltage_violation_metric,penalized_cost,economic_generation_cost,balance_penalty_cost,constraint_penalty,step_economic_costs_json,step_penalized_costs_json,step_balance_penalties_json,step_reward_penalties_json,step_balance_errors_json,step_cost_constraints_json,step_voltage_violations_pu_json,step_legacy_cost_constraints_json,mean_economic_generation_cost,mean_penalized_cost,mean_balance_penalty,mean_constraint_penalty,mean_cost_constraint,mean_voltage_violation_pu,legacy_mean_cost_constraint,legacy_cum_cost_constraint,policy_eval_seed,perfect_cost,gap_to_perfect_percent
33,MPC-3,86,test_id,id_actual,id_reliable,3,,1667.5045179963429,,,98.48800039291382,2.0518333415190377,34.420000076293945,0,0,True,,100086,pure_mpc,4,48,True,,1.0,0.1250000007951273,"[9.019058233156963, 11.910621754484803, 9.76507655100812, 4.932727334512696, 6.126602691485099, 9.440050567970957, 8.738045322918913, 10.864215934978693, 6.87690735226125, 8.58938971322022, 18.096970953772885, 25.721262382745252, 33.96410452183348, 35.63904929441291, 22.630716749512253, 6.16615, 6.050193629470559, 4.816780654296696, 3.583463679122833, 2.3502427039489695, 1.1171177287751057, 0.0, 0.0, 0.0, 0.675936876474915, 26.753196642163008, 17.07903142545762, 4.375496641008128, 26.67413907952277, 23.266361465322525, 69.33626518851865, 80.26216160915806, 92.92705803231593, 108.18439660644958, 103.39742706213359, 130.11344505012738, 57.160787875147655, 49.13443959963678, 61.05216005490551, 72.17437962347131, 63.80429756773422, 69.98062950285578, 58.28303774683457, 61.19091714342148, 55.49313639941373, 70.30602676407705, 66.63293269418843, 52.8481095921152]","[0.750999927520752, 0.48199987411499023, 5.309000015258789, 0.34800004959106445, 0.0820000171661377, 1.8250000476837158, 11.099999904632568, 0.48000001907348633, 0.7699999809265137, 2.2300000190734863, 0.4679999351501465, 0.7580001354217529, 1.7980000972747803, 0.4289999008178711, 1.5870001316070557, 0.12100005149841309, 0.3489999771118164, 0.5520000457763672, 0.5300002098083496, 0.5959999561309814, 0.4830000400543213, 0.4609999656677246, 0.05500006675720215, 0.46700000762939453, 3.2179999351501465, 34.420000076293945, 17.144999980926514, 0.6649999618530273, 2.6050000190734863, 3.8320000171661377, 0.6619999408721924, 0.6809999942779541, 0.35899996757507324, 0.34800004959106445, 0.38300013542175293, 0.08699989318847656, 0.11400008201599121, 0.2929999828338623, 0.20799994468688965, 0.0969998836517334, 0.1790001392364502, 0.11100006103515625, 0.27699995040893555, 0.2720000743865967, 0.2820000648498535, 0.12399983406066895, 0.06599998474121094, 0.029000043869018555]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.0429915624934,26.22636270331099
33,MPC-3,87,test_id,id_actual,id_reliable,3,,1687.1565588312644,,,81.99900007247925,1.7083125015099845,17.744999885559082,0,0,True,,100087,pure_mpc,4,48,True,,1.0,0.1250000013288495,"[14.83385688272537, 13.034582107292952, 3.5393306215839586, 4.532780422791487, 5.765893076278774, 10.373031510366781, 7.22487660151788, 8.26665208970427, 11.650636965534883, 8.559290313644185, 22.951518329156904, 29.148948487779535, 33.295173422751084, 34.11254640588709, 19.751383465029413, 11.948142451876157, 5.252726359685009, 4.0193754527773295, 3.283672611419597, 2.377472263459825, 1.1443451685221335, 0.0, 0.0, 0.6529268289702473, 1.3502693696519747, 2.583412434132334, 7.075588850814007, 9.422522556210904, 24.451537157079905, 45.46313428126862, 73.08835644824742, 96.75407061457601, 115.71058974721466, 108.16741983183107, 127.94402707886242, 100.8282418839468, 58.50454005824146, 56.87860642017833, 69.93183627427356, 60.34514268799033, 68.12355123178168, 56.07725008650821, 48.818738601504684, 67.05472853748263, 53.814888702620806, 56.26478294914696, 58.76031106255212, 64.02385012639246]","[0.3619999885559082, 3.74399995803833, 0.33099985122680664, 0.34999990463256836, 0.08999991416931152, 3.510999917984009, 3.9240000247955322, 4.2190001010894775, 0.692000150680542, 2.0490000247955322, 0.5240001678466797, 0.28800010681152344, 1.0520000457763672, 0.437000036239624, 0.7919998168945312, 5.111999988555908, 4.4100000858306885, 0.5080001354217529, 0.6699998378753662, 7.934000015258789, 0.5199999809265137, 0.5230000019073486, 6.16700005531311, 3.2850000858306885, 2.7319998741149902, 0.5779998302459717, 17.744999885559082, 4.288999795913696, 1.3240001201629639, 0.5610001087188721, 0.15399980545043945, 0.11100006103515625, 0.125, 0.48600006103515625, 0.13199996948242188, 0.11300015449523926, 0.18799996376037598, 0.18400001525878906, 0.11899995803833008, 0.21199989318847656, 0.14300012588500977, 0.2239999771118164, 0.252000093460083, 0.10300016403198242, 0.2980000972747803, 0.315000057220459, 0.08599996566772461, 0.03099989891052246]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.3342894852017,26.34713061114437
33,MPC-3,88,test_id,id_actual,id_reliable,3,,1686.187581054469,,,97.70199990272522,2.035458331306776,20.93399977684021,0,0,True,,100088,pure_mpc,4,48,True,,1.0,0.1250000009109781,"[18.327902610058707, 3.13995483285832, 5.534566398198963, 7.852767057949189, 12.564857293089249, 9.476982198752928, 12.463044257329816, 13.729204344895805, 8.696826648892031, 6.017909552075359, 20.088789705793033, 29.153130411702115, 30.90740540518624, 35.81094080561269, 22.116611724907294, 11.176422638012706, 6.16615, 5.466314149748933, 4.232946700903452, 2.9996752520546828, 1.7667195127709638, 0.5336399655235967, 0.0, 0.0, 27.78094197654205, 2.4661719389869488, 13.913608767684009, 11.69307122786691, 8.773157136682888, 52.40650758330932, 41.00374387293137, 90.21970059383557, 104.88687929136317, 111.31174497813328, 107.57447927950189, 103.54525644129806, 55.063430086709886, 55.045024373095636, 63.22925320697093, 58.46919935778256, 77.01871442067743, 71.58203583755821, 68.60628676698587, 50.095348072896684, 52.3595904641369, 62.23586342434933, 67.02144701401363, 61.663363474840736]","[0.4010000228881836, 6.564000129699707, 6.053999900817871, 11.574000120162964, 2.1670000553131104, 1.8880000114440918, 1.2929999828338623, 0.4100000858306885, 2.422999858856201, 0.08799982070922852, 0.48000001907348633, 0.2990000247955322, 2.863999843597412, 0.4890000820159912, 0.127000093460083, 0.45399999618530273, 0.11800003051757812, 0.6679999828338623, 0.059999942779541016, 0.06000018119812012, 0.07200002670288086, 0.040000200271606445, 5.815000057220459, 0.4460000991821289, 20.93399977684021, 0.5069999694824219, 9.565999984741211, 14.901999950408936, 1.8529999256134033, 0.39800000190734863, 0.75, 0.11600017547607422, 0.38499999046325684, 0.7100000381469727, 0.14700007438659668, 0.12199997901916504, 0.20300006866455078, 0.309999942779541, 0.21599984169006348, 0.309999942779541, 0.10899996757507324, 0.12800002098083496, 0.22699999809265137, 0.3229999542236328, 0.32399988174438477, 0.19099998474121094, 0.07799983024597168, 0.03900003433227539]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322.1408773277124,27.53463794739948
33,MPC-3,89,test_id,id_actual,id_reliable,3,,1792.3841699733814,,,60.5799994468689,1.262083321809769,10.330999851226808,0,0,True,,100089,pure_mpc,4,48,True,,1.0,0.1250000008804777,"[23.507936206666802, 10.819325249266315, 8.256431881696205, 4.932727709624072, 5.261210869945615, 6.952023840668597, 8.580040206547796, 13.965665751495067, 8.489634372333983, 10.787033715777742, 17.74491269663868, 28.677241637706636, 30.30754496672445, 28.216355596934264, 18.624526673344974, 6.083223740321681, 4.849808194924075, 5.024943416718254, 3.7916102391271544, 2.5583731840674244, 1.3252320071007373, 0.09218683049999471, 0.0, 0.0, 0.0, 1.2330379434774135, 42.39129308942564, 33.00717417742304, 41.609693941060684, 52.83131078934422, 55.21947241899162, 114.02496522897609, 83.4504141905704, 119.97340822708343, 126.76012689087678, 125.70385770440241, 58.6411738943547, 46.84222644870943, 63.48906132511836, 69.36247317127344, 65.95893574159764, 62.91824634434138, 69.04565721621813, 74.77291972365154, 62.64807714669315, 62.29620635292734, 60.583405103550064, 50.77304391518366]","[0.30900001525878906, 4.398000001907349, 2.7059998512268066, 0.11400008201599121, 0.39300012588500977, 2.3399999141693115, 10.330999851226807, 0.40000009536743164, 2.4630000591278076, 1.1539998054504395, 0.9679999351501465, 0.31099987030029297, 0.5580000877380371, 0.43400001525878906, 1.5270001888275146, 0.13199996948242188, 0.06800007820129395, 0.48000001907348633, 0.4780001640319824, 3.9589998722076416, 0.056999921798706055, 0.046000003814697266, 0.4960000514984131, 8.023000001907349, 0.5509998798370361, 2.7160000801086426, 4.75600004196167, 2.7809998989105225, 2.192999839782715, 0.6990001201629639, 0.7769999504089355, 0.12599992752075195, 0.6610000133514404, 0.4509999752044678, 0.35700011253356934, 0.08699989318847656, 0.20799994468688965, 0.3730001449584961, 0.2889997959136963, 0.11699986457824707, 0.11300015449523926, 0.28999996185302734, 0.11800003051757812, 0.09200000762939453, 0.28600001335144043, 0.25999999046325684, 0.06699991226196289, 0.06699991226196289]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395.168662301522,28.470787683590732
33,MPC-3,90,test_id,id_actual,id_reliable,3,,1706.369513393288,,,59.0119993686676,1.2294166535139084,16.5,0,0,True,,100090,pure_mpc,4,48,True,,1.0,0.1250000008085604,"[16.57657626639352, 9.294333541695792, 3.692950455391205, 4.926275692550095, 6.159674681808785, 6.085971252156352, 8.692166496836917, 8.407698168628562, 12.949069242878714, 10.974812772993186, 17.69399534790862, 29.694852590286224, 16.7295343637658, 16.24526223701128, 22.58665002548142, 13.223290651398464, 5.4298688017746475, 5.641601060502554, 4.408393270475937, 3.175108083387132, 1.941919000180926, 0.7088258125839682, 0.0, 0.0, 18.871901578444483, 1.845559775913836, 32.79686310995358, 4.3120190841253345, 33.57660054905122, 55.94544500858958, 43.83137913661931, 93.63819309079176, 96.33677334789637, 120.8816120157388, 115.36044915768717, 120.33762901188294, 44.01046891126645, 53.25841933204487, 68.36144262370185, 59.757191587854116, 69.43845912294186, 52.44734171523193, 61.72515271443709, 70.25492318258051, 66.76774838543078, 63.71264727672358, 68.42327119674083, 65.23919266154965]","[0.49200010299682617, 0.8139998912811279, 0.3299999237060547, 0.11099982261657715, 0.0820000171661377, 0.08600020408630371, 2.496999979019165, 2.4560000896453857, 0.7369999885559082, 0.6659998893737793, 0.440000057220459, 0.2990000247955322, 1.556999921798706, 1.4179999828338623, 1.6640000343322754, 1.500999927520752, 0.41900014877319336, 0.13699984550476074, 0.04900002479553223, 0.08100008964538574, 0.05099987983703613, 0.39999985694885254, 0.04699993133544922, 0.04999995231628418, 16.5, 3.0179998874664307, 15.417999982833862, 0.6470000743865967, 2.941999912261963, 0.49199986457824707, 0.5340001583099365, 0.43000006675720215, 0.3540000915527344, 0.11700010299682617, 0.11899995803833008, 0.12800002098083496, 0.28800010681152344, 0.1919999122619629, 0.11100006103515625, 0.30500006675720215, 0.09799981117248535, 0.3379998207092285, 0.1230001449584961, 0.0989999771118164, 0.18999981880187988, 0.09399986267089844, 0.06200003623962402, 0.029000043869018555]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.7701165870474,28.41721017749153
